name,image,details_link
Nintendo Switch Hard Shell Trave Storage Bag Glass Case Cover Protective Case for Nintendo Switch 2,https://down-sg.img.susercontent.com/file/sg-11134201-7rcfa-ltw59hxramon82_tn.webp,https://shopee.sg/Nintendo-Switch-Hard-Shell-Trave-Storage-Bag-Glass-Case-Cover-Protective-Case-for-Nintendo-Switch-2-i.1175477.2848918273?extraParams=%7B%22display_model_id%22%3A107144925887%2C%22model_selection_logic%22%3A3%7D
3.5/4.0 Inch R36 Ultra/R36S Max Retro Portable Handheld Video Game Console HD Screen Emulator Game Arcade Emulator Linux,https://down-sg.img.susercontent.com/file/sg-11134207-7rdvw-mbtfviev802e70_tn.webp,https://shopee.sg/3.5-4.0-Inch-R36-Ultra-R36S-Max-Retro-Portable-Handheld-Video-Game-Console-HD-Screen-Emulator-Game-Arcade-Emulator-Linux-i.1202397081.27159487694?extraParams=%7B%22display_model_id%22%3A260360777035%2C%22model_selection_logic%22%3A3%7D
"Steam Games CD-Keys Random STANDARD Keys GLOBAL (NO free games, NO DLC codes, NO demo codes)",https://down-sg.img.susercontent.com/file/sg-11134207-7rbk0-ll01drh4rmg73d_tn.webp,https://shopee.sg/Steam-Games-CD-Keys-Random-STANDARD-Keys-GLOBAL-(NO-free-games-NO-DLC-codes-NO-demo-codes)-i.52213857.21492429793?extraParams=%7B%22display_model_id%22%3A148342946946%2C%22model_selection_logic%22%3A3%7D
[1+2] PlayStation Portal Storage Bag Hard Casing Pouch for PS Portal,https://down-sg.img.susercontent.com/file/sg-11134201-7rbmw-lns9e53xvmw890_tn.webp,https://shopee.sg/-1-2-PlayStation-Portal-Storage-Bag-Hard-Casing-Pouch-for-PS-Portal-i.5526137.19995034854?extraParams=%7B%22display_model_id%22%3A232249483504%2C%22model_selection_logic%22%3A3%7D
Nintendo Switch / Switch 2 Pro Wireless Controller for Switch Console Bluetooth Joystick PC Computer Controller,https://down-sg.img.susercontent.com/file/sg-11134201-22110-8e4gn7ym4gjv72_tn.webp,https://shopee.sg/Nintendo-Switch-Switch-2-Pro-Wireless-Controller-for-Switch-Console-Bluetooth-Joystick-PC-Computer-Controller-i.533943.3440561266?extraParams=%7B%22display_model_id%22%3A21142896713%2C%22model_selection_logic%22%3A3%7D
"[Improved Version] Dockable Clear Case for Switch2/OLED,3 in 1 Protective Case Cover for Nintendo Switch and Joy-Con Controller with Clear Grip Cover Shock-Absorption",https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lkq5ew7x1sdtc7_tn.webp,https://shopee.sg/-Improved-Version-Dockable-Clear-Case-for-Switch2-OLED-3-in-1-Protective-Case-Cover-for-Nintendo-Switch-and-Joy-Con-Controller-with-Clear-Grip-Cover-Shock-Absorption-i.911539328.22777635894?extraParams=%7B%22display_model_id%22%3A186975532780%2C%22model_selection_logic%22%3A3%7D
"M500 Mini Retro Handheld Game Console | 500 in 1 Games| G5-2 Players| 3"" TFT Screen| 128Mb| 800mAh Rechargeable Battery",https://down-sg.img.susercontent.com/file/my-11134201-7ras9-mawihnia248m4c_tn.webp,https://shopee.sg/M500-Mini-Retro-Handheld-Game-Console-500-in-1-Games-G5-2-Players-3-TFT-Screen-128Mb-800mAh-Rechargeable-Battery-i.1299445769.26665764538?extraParams=%7B%22display_model_id%22%3A195504760451%2C%22model_selection_logic%22%3A3%7D
[SG] Nintendo Switch Game Super Mario Party Jambore,https://down-sg.img.susercontent.com/file/sg-11134207-7rdw3-ly0wbdr9eqmgc9_tn.webp,https://shopee.sg/-SG-Nintendo-Switch-Game-Super-Mario-Party-Jambore-i.168334632.27605940005?extraParams=%7B%22display_model_id%22%3A233023372080%2C%22model_selection_logic%22%3A3%7D
Lemorele Video Capture Card Nintendo Switch Dock Usb C Game Capture Card Video Capture 采集卡,https://down-sg.img.susercontent.com/file/cn-11134207-7ras8-md2o8wgs5tdsc0_tn.webp,https://shopee.sg/Lemorele-Video-Capture-Card-Nintendo-Switch-Dock-Usb-C-Game-Capture-Card-Video-Capture-%E9%87%87%E9%9B%86%E5%8D%A1-i.1058886763.22678119330?extraParams=%7B%22display_model_id%22%3A79799109857%2C%22model_selection_logic%22%3A3%7D
[SG Stock] 4K HD Video Game Console 64G Built-in 30000 +Games Retro handheld Game Stick Wireless Controller Supports MAME/FC/GB/MD/SFC/PS1 Game Kids Gift,https://down-sg.img.susercontent.com/file/sg-11134207-7qvez-lh8zyrkj9x8g14_tn.webp,https://shopee.sg/-SG-Stock-4K-HD-Video-Game-Console-64G-Built-in-30000-Games-Retro-handheld-Game-Stick-Wireless-Controller-Supports-MAME-FC-GB-MD-SFC-PS1-Game-Kids-Gift-i.975994016.21788557427?extraParams=%7B%22display_model_id%22%3A257804674918%2C%22model_selection_logic%22%3A3%7D
(SG) LionShield Nintendo Switch 2 (OLED/Gen 2/1) Travel Pouch/Case Casing Cover,https://down-sg.img.susercontent.com/file/sg-11134207-7rava-mawgwufut0qr9b_tn.webp,https://shopee.sg/(SG)-LionShield-Nintendo-Switch-2-(OLED-Gen-2-1)-Travel-Pouch-Case-Casing-Cover-i.75632239.1384167302?extraParams=%7B%22display_model_id%22%3A68293008920%2C%22model_selection_logic%22%3A3%7D
Switch Game Card Box Case 12 Slots for Nintendo Switch/ Lite/ OLED,https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-loo7n4m8yy6p83_tn.webp,https://shopee.sg/Switch-Game-Card-Box-Case-12-Slots-for-Nintendo-Switch-Lite-OLED-i.125915778.3424014976?extraParams=%7B%22display_model_id%22%3A15557641144%2C%22model_selection_logic%22%3A3%7D
JSAUX Steam Deck OLED Tempered Glass 9H Screen Protector Guiding Frame (2 Packs),https://down-sg.img.susercontent.com/file/875c18745bd2920e5d52d94940481197_tn.webp,https://shopee.sg/JSAUX-Steam-Deck-OLED-Tempered-Glass-9H-Screen-Protector-Guiding-Frame-(2-Packs)-i.161541082.21847702085?extraParams=%7B%22display_model_id%22%3A213715551436%2C%22model_selection_logic%22%3A3%7D
